,text,embeddings,distances
96,Aftermath of the 2023 Turkey–Syria earthquakes,"[-0.00593362 -0.01557161 -0.00971076 ...  0.00839438  0.0110999
 -0.02611586]",0.0754610386681509
98,Reactions to the 2023 Turkey–Syria earthquakes,"[-0.00968734 -0.02823052 -0.00874092 ...  0.01368937  0.00688187
 -0.02221396]",0.07899373845534918
97,Humanitarian response to the 2023 Turkey–Syria earthquakes,"[-0.01003118 -0.02768046 -0.01551542 ...  0.0046533   0.00302464
 -0.02507462]",0.08967673754798555
3,"The confirmed death toll in Turkey was 53,537; estimates of the number of dead in Syria were between 5,951 and 8,476. It is the deadliest earthquake in what is now present-day Turkey since the 526 Antioch earthquake and the deadliest natural disaster in its modern history. It is also the deadliest in present-day Syria since the 1822 Aleppo earthquake; the deadliest earthquake or natural disaster in general since the 2010 Haiti earthquake; and the fifth-deadliest earthquake of the 21st century. Damages were estimated at US$148.8 billion in Turkey, or nine-percent of the country's GDP, and US$9 billion in Syria.","[ 0.00022446 -0.02535487 -0.01128911 ...  0.00862978 -0.01630794
 -0.01098277]",0.092695145270001
39,"By 23 February 2023, the Ministry of Environment, Urbanization and Climate Change conducted damage inspections for 1.25 million buildings; revealing 164,000 buildings were either destroyed or severely damaged. Another inspection carried out in March revealed that 1,411,304 housing units sustained light to moderate damage. Over 150,000 commercial infrastructure were at least moderately damaged. The International Organization for Migration estimated over 2.7 million people were made homeless. Additionally, the International Labour Organization estimated that 658,000 workers in Turkey and 170,000 others in Syria had lost their jobs as a result of the earthquake, increasing risks of poverty and child labour. A damage assessment by the Turkish government revealed at least 61,722 buildings had to be demolished including 11,900 in Gaziantep Province, 10,900 in Hatay Province, 10,800 in Kahramanmaraş Province and 36,046 in Malatya Province. Broad fissures appeared on roads. During recovery efforts, body parts were often found in the rubble.","[ 0.00526485 -0.01567967 -0.00376447 ...  0.00518037 -0.02430349
 -0.03330578]",0.10100772190302987
0,"On 6 February 2023, at 04:17 TRT (01:17 UTC), a Mw 7.8 earthquake struck southern and central Turkey and northern and western Syria. The epicenter was 37 km (23 mi) west–northwest of Gaziantep. The earthquake had a maximum Mercalli intensity of XII (Extreme) around the epicenter and in Antakya. It was followed by a Mw 7.7 earthquake at 13:24. This earthquake was centered 95 km (59 mi) north-northeast from the first. There was widespread damage and tens of thousands of fatalities.","[-0.00791618 -0.01489395 -0.01355336 ... -0.00526181  0.00786926
 -0.02551141]",0.11678971290193163
2,"There was widespread damage in an area of about 350,000 km2 (140,000 sq mi), about the size of Germany. An estimated 14 million people, or 16 percent of Turkey's population, were affected. Development experts from the United Nations estimated that about 1.5 million people were left homeless.","[-0.0002232  -0.01703203  0.00088722 ...  0.00520352 -0.00992151
 -0.02703659]",0.12753979086804168
101,List of earthquakes in Turkey,"[-0.01198836 -0.0191413  -0.00194018 ...  0.0088627   0.00902967
 -0.0375613 ]",0.13020951362093647
38,"There were 53,537 deaths and 107,213 injured across 11 of the 17 affected provinces of Turkey. About 140 people remain missing; 118 in Hatay Province. At least 15.73 million people and 4 million buildings were affected. More than 2 million residents in the affected provinces were evacuated to nearby provinces including Mersin, Antalya, Mardin, Niğde and Konya. At least 518,009 houses and over 345,000 apartments were destroyed. More than 20 percent of Turkey's agriculture production was affected. The United Nations said crops, livestock, fisheries, aquaculture and rural infrastructure were heavily damaged. At least 516 university buildings were affected, of which 106 were heavily damaged.","[-0.00887983 -0.03629996 -0.00260052 ...  0.00234356 -0.01726525
 -0.02371858]",0.13084296557240938
1,"The Mw 7.8 earthquake is the largest in Turkey since the 1939 Erzincan earthquake of the same magnitude, and jointly the second-largest in the country, after larger estimates for the 1668 North Anatolia earthquake. It is also one of the strongest earthquakes ever recorded in the Levant. It was felt as far as Egypt and the Black Sea coast of Turkey. There were more than 30,000 aftershocks in the three months that followed. The seismic sequence was the result of shallow strike-slip faulting along segments of the Dead Sea Transform, East Anatolian and Sürgü–Çardak faults.","[ 0.00026155 -0.02224844 -0.00377053 ...  0.01214328 -0.00090072
 -0.03337266]",0.13426155960203623
103,"Earthquake Department, ed. (9 February 2023). 06 Şubat 2023 Pazarcik (Kahramanmaraş) Mw 7.7 Elbistan (Kahramanmaraş) Mw 7.6 Depremlerine İlişkin Ön Değerlendirme Raporu [Preliminary Evaluation Report on the 06 February 2023 Pazarcik (Kahramanmaraş) Mw 7.7 and Elbistan (Kahramanmaraş) Mw 7.6 Earthquakes] (PDF) (Report) (in Turkish). AFAD.","[-0.01105226 -0.02135838 -0.00949335 ...  0.01594884  0.01094567
 -0.0106592 ]",0.13648148405867833
56,"In Kilis Province, 448 buildings were destroyed and 138 others were heavily damaged, along with 2,514 houses. Karamelik was the worst-affected area, with virtually the entire village being razed to the ground and cars being buried beneath collapsed houses. Damage assessments in Elazığ Province showed that 10,156 households and 664 buildings collapsed or were severely damaged, with minor-to-moderate damage being recorded in 32,673 homes; One of the damaged buildings collapsed in the second earthquake. Compared to neighboring provinces, damage and casualties were much less severe as most of the buildings in Elazığ received updated guidelines after the 2020 Elazığ earthquake. ","[-0.00584401 -0.01054214  0.00038387 ...  0.01299761 -0.02640119
 -0.02873225]",0.1391333902012899
107,"Utkucu, Murat; Uzunca, Fatih; Durmuş, Hatice; Nalbant, Suleyman (22 February 2023). The 2023 Pazarcik (Mw=7.8) and Elbi̇stan (Mw=7.6), Kahramanmaraş earthquakes in the southeast Türki̇ye (PDF) (Report). Sakarya University. Retrieved 1 March 2023.","[-0.00887836 -0.0290241   0.00244377 ...  0.01084296  0.01432038
 -0.00824175]",0.13920577404521517
21,"Preliminary analysis of the effects of stress changes caused by the M7.8 earthquake on the Çardak–Sürgü Fault, based on the USGS fault model, indicated up to 3 bars of added stress near the epicenter of the M7.7 shock, sufficient to trigger rupture on that zone, assuming that it was already close to failure. Stress on the Hatay Fault, source of the 20 February Mw  6.4 aftershock, increased by 1 bar following the 6 February earthquakes.","[-0.01348119 -0.01394274  0.00847999 ...  0.02339404 -0.00698515
 -0.01749731]",0.13989238714133134
72,"On 20 February, a Mww 6.3 aftershock struck near Antakya, causing additional buildings to collapse in Samandağ and further damage in Antakya. Six people died in Antakya, Defne and Samandağ. At least 562 were injured including 18 in serious condition who received immediate medical attention before being taken to Adana and Dörtyol. AFAD warned residents to stay away from the coast as there was potential for a tsunami of up to 50 cm (20 in). The mayor of Hatay said several people were trapped under debris. A bridge was damaged and an empty three-story building in İskenderun collapsed. In Syria, five people died during stampedes and panic across several governates and at least 500 people were injured. The White Helmets said people in Aleppo and Idlib were injured by collapsed buildings. Some residents in Jinderis were injured after leaping off buildings. In northwestern Syria, damaged and abandoned buildings collapsed without casualties. Shaking was felt in Lebanon, Egypt and Jordan.","[-7.63643766e-03  3.40835468e-05 -1.27572622e-02 ... -1.01451594e-02
 -5.23799006e-03 -1.79470070e-02]",0.13997242546017774
52,"Destruction also occurred in Barbaros, Sümerevler and Karapınar districts. In Harmanlı, Gölbaşı, 80–90 percent of it was destroyed. The second earthquake destroyed three buildings in the province. In Gölbaşı, 71 percent of the town's infrastructure was damaged or destroyed and 695 people were killed with over 400 injured, including 286 deaths in the town center. There were also 410 deaths in Besni District, about 90 percent of them in the town itself. At least 103 people were killed and dozens more were injured in Çelikhan District, including 11 in Avaspi and 10 in Pınarbaşı, Çelikhan. In Kurucuova village, 100 deaths and 10 missing were recorded while in Kâhta, 55 people died.","[-0.00070054 -0.00456612 -0.00211674 ...  0.00857449 -0.0285189
  0.00022805]",0.14098593902767909
105,UN (16 February 2023). Türkiye: 2023 Earthquakes Situation Report No.1 (PDF) (Report). OHCA.,"[-0.0160002  -0.03955164 -0.00897701 ...  0.01885172  0.02803995
 -0.01891772]",0.14208400221014417
108,"Taftsoglou, Maria; Valkaniotis, Sotiris; Karantanellis, Efstratios; Goula, Evmorfia; Papathanassiou, George (23 February 2023). Preliminary mapping of liquefaction phenomena triggered by the February 6 2023 M7.7 earthquake, Türkiye / Syria, based on remote sensing data (Report). doi:10.5281/zenodo.7668401.","[-0.02054771 -0.01952241 -0.010835   ... -0.00122275  0.00527202
 -0.01813686]",0.14412939438668992
57,"In Batman Province, 218 buildings were damaged and 15 more collapsed. In Mardin Province, 59 buildings were heavily damaged and another 190 were slightly damaged and a death related to a heart attack occurred in Kızıltepe District. In Bingöl Province, several houses cracked and some livestock were killed by collapsing barns. In Samsun, damage occurred in Samsun Stadium. In Kayseri Province, eight buildings collapsed, while 5,252 others were damaged to some extent. Several houses were damaged and a barn collapsed in Muş Province. In Sivas Province, the second earthquake destroyed a few houses. In Giresun Province, a five-story building was damaged and evacuated. ","[-0.00553326 -0.00969242  0.00322243 ... -0.00059446 -0.02392941
 -0.02163701]",0.14526666488559503
61,"An estimated 5.37 million people across Syria may have been made homeless, while 10.9 million people, nearly half of Syria's population, were affected. More than 123 residential areas, villages, towns and cities were badly damaged. Many power plants, water facilities, hospitals and public infrastructure also sustained damage. At least 453 schools were damaged. Across the country, 22,452 housing units were destroyed and 62,878 others were damaged.","[-0.00154302 -0.00982732 -0.01067059 ... -0.00011757 -0.01547722
 -0.00742076]",0.14630762924321739
75,"A Mww  6.0 earthquake struck Kale District, Malatya Province on 16 October 2024, causing 254 injuries across seven provinces, with Elazığ Province alone recording 116 injuries.","[ 0.00136962 -0.01491766  0.00337764 ...  0.01031208  0.00919814
 -0.03270159]",0.14698179072461748
14,"A reevaluation of the earthquakes using long-period coda moment magnitude obtained Mw  7.95 ± 0.013 and Mw  7.86 ± 0.012, respectively. These earthquakes were some of the largest Turkish earthquakes in over 2,000 years. Both earthquakes are the largest and only observed to occur on land within a short span of time.","[ 0.00713793 -0.02025951  0.01307514 ...  0.01873374 -0.00183258
 -0.03242583]",0.1472815255275015
11,"The first and largest earthquake in the sequence struck at 01:17 UTC. The United States Geological Survey (USGS) and Global Centroid Moment Tensor (GCMT) measured it at Mww 7.8 and Mw 7.8, respectively. GEOSCOPE reported Mw 8.0 and Kandilli Observatory (KOERI) reported Mw 7.7 and ML 7.4. It had an epicenter 34 km (21 mi) west of Gaziantep in Gaziantep Province, which is near the border with Syria. The earthquake hypocenter was at a depth of 10.0 km (6 mi) according to USGS and 5 km (3 mi) according to KOERI. The shock had a focal mechanism corresponding to strike-slip faulting.","[ 0.00097135 -0.004306    0.00233325 ...  0.00633549 -0.00737694
 -0.02710442]",0.14740436326035344
106,"Çetin, Kemal Önder; Ilgaç, Makbule; Can, Gizem; Çakır, Elife, eds. (20 February 2023). Preliminary Reconnaissance Report on February 6, 2023, Pazarcık Mw=7.7 and Elbistan Mw=7.6, Kahramanmaraş-Türkiye Earthquakes (PDF) (Report). Middle East Technical University. Retrieved 1 March 2023.","[-0.00948874 -0.02496892 -0.00364846 ...  0.01412661  0.01399606
 -0.01802929]",0.14782045110447017
27,"The zone of surface rupture extended from north of Antakya, Hatay Province towards Pazarcık, Kahramanmaraş Province and Gölbaşı, Adıyaman Province. Surface ruptures continued north of these cities. Surface rupture occurred in the Amik Valley. The westernmost part of Hatay Airport was damaged by surface ruptures but cracks in the runway were attributed to ground deformation. A major canal was damaged and lead to flooding in parts of the Amik Valley which was formerly Lake Amik. Field observations indicate a maximum displacement of 7.3 m (24 ft) on the surface. Geologists traced a 15 km (9.3 mi) surface rupture trending south from Pazarcık with an offset of 2.5 m (8 ft 2 in). From Golbasi to Nurdağı ground displacements were up to 5 m (16 ft). The surface rupture observed during the M7.8 earthquake was unusually large, comparable to that during the 1906 San Francisco earthquake along the San Andreas Fault.","[-0.01443661 -0.02711164  0.01756064 ...  0.01574402 -0.02119387
 -0.01143643]",0.14836323893774261
60,"Over 14,500 were also injured in Syria. Among the dead included 2,153 children and 1,524 women. The Syrian Network for Human Rights stated 73 medics, five media personnel, 62 workers in humanitarian agencies, and four civil defense personnel were among the dead. The Syrian Observatory for Human Rights said additional dead were buried before being registered and some victims died in hospitals. Syria's National Earthquake Centre said the earthquake is ""the biggest earthquake recorded"" in its operational history.","[-0.00467049  0.00867284 -0.0122363  ... -0.00448708 -0.02159039
 -0.00833876]",0.14878878121759487
50,"In Elbistan, 1,038 people died, 3,000 were injured and 2,000 buildings were destroyed. At least 11 people died, 107 houses were destroyed and 70 percent of the building stock were damaged in Ekinözü. In Afşin, at least 180 people died. At least 335 buildings including 90 in the city center were destroyed. The Afşin-Elbistan Thermal Power Plant was also damaged. In Ericek, a village in Göksun, 95 percent of homes were affected and 152 died. In Nurhak, there were around 200 deaths and all houses were severely damaged.","[-0.0048595  -0.0121171  -0.01267666 ... -0.00506933 -0.00946586
 -0.02765816]",0.14963993028676137
74,"On 25 July, a damaging Mww  5.5 aftershock struck Kozan, Adana Province. The shock left 63 people injured in Adana and Osmaniye provinces. A house in Sumbas was also damaged by rockfalls. Another aftershock struck Malatya Province on 10 August, measuring Mww  5.3. Twenty-three people were injured; 22 in Malatya and one in Adıyaman. One building collapsed and two were damaged in Malatya.","[-0.00722928 -0.00139949  0.00968643 ...  0.00626809 -0.0027719
 -0.02557325]",0.15011340335431278
37,"The earthquake rupture terminated near Suvatlı in the Amik Valley, where some 10.5 km (6.5 mi) to its east is the Hacıpaşa Fault, a Dead Sea Transform segment. The rupture was arrested by a stepover that connects the East Anatolian Fault with the Hacıpaşa Fault. Though it did not rupture, the Coulomb stress increased on the Hacıpaşa Fault. With a combination of the increases stress, 600–900 years without major earthquakes, and an annual slip rate of 5 mm (0.20 in), it is a potential source of magnitude 7.0 or greater earthquakes. The accumulated slip along this segment is estimated at 3–9 m (9.8–29.5 ft). An earthquake ""domino effect"" remains plausible along the Dead Sea Transform beginning with the Hacıpaşa Fault, as observed along the North Anatolian Fault, where successive earthquakes have migrated westwards along the fault since 1939.","[ 0.00285092 -0.0135142   0.02456499 ...  0.0242882  -0.01055949
 -0.02592126]",0.1506654397731697
